,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2013050207043,"Eliassen, Ruben",,2011,"barebøker, fantastisk, litteratur",nob,2011,,,
2013050307042,"Hudák, Michal",Herren er min hyrde,cop. 2006,"barnebøker, bibelen, bok, gt, salmenes",nob,2006,,,
2013050705046,"Asbjørnsen, P. Chr.",Eventyr,cop. 2009,,nob,2009,,,
2013050707027,"Saunders, George",De utrolig utrettelige gapperene fra Fripp,cop. 2008,,nob,2008,,,
2013050707084,"Beechwood, Beth",Håpløst forelsket,2008,,nob,2008,,,
2013050807033,"Fullu, Karsten",Søppelmonsteret,2007,,nob,2007,,,
2013052807026,"Stueland, Unni Rom",Elfie hjelper til,2010,,nob,2010,,,
2013052807057,"Stalfelt, Pernilla",,2010,"barn, barnebøker, billedbøker, fagbøker, solbrenthet, solen, soling",nob,2010,,En bok om solen,
2013060405017,"Klass, David",Fenomenet,2008,"forelskelse, forente, fotball, skolemiljø, stater, ungdomsbøker, vold",nob,2008,,,
2013061006070,"Kirkegaard, Ole Lund",Gummi-Tarzan,cop. 2008,"barn, billedbok",nob,2008,,,
2013061206113,"Vestly, Anne-Cath.",Knerten gifter seg,2010,,nob,2010,,,
2013061306048,"Barrie, J.M.",Peter Pan og Wendy,2008,,nob,2008,,,
2013061806014,"Geffenblad, Lotta",Prikk og Flekk blir hemmelege,2007,"barn, biletbøker, maling, skjønnlitteratur",nno,2007,,,
2013061938005,"Edom, Helen",Boken min om fotball,2007,"barn, fotball, idrett",nob,2007,,,
2013062038017,"Rooney, Anne",Jordskjelv!,2008,"jordskjelv, naturkatastrofer",nob,2008,,,
2013062038049,"Kove, Torill",,2007,"billedbøker, forfattere, forfatterskap, kjærlighet",nob,2007,,,
2013062105057,"Lystrup, Geirr",[Vasana forteller],[2006],,nob,2006,,,
2013062106047,"Osland, Erna",Dyrebare venner,2008,"barnebøker, dyr, fisk, insekt, insekter, symbiose, vennskap, venskap",nno,2008,,,
2013062106050,"Grossmann, Kari",,2009,"barn, bursdager, butikker, leger, legevakt",nob,2009,,,
2013062505012,"Ogden, Charles",Turistfellen,2008,,nob,2008,,,
2013062506109,"Goldsack, Gaby",Kilen sau,2006,,nob,2006,,,
2013062506156,"Morell, Gill",Ridetur med utur,2006,,nob,2006,,,
2013062808058,"Røssland, Tor Arve",Svarte-Mathilda,2013,"barnebøker, grøssere, spenningslitteratur, spøkelser, ungdomsbøker, vold",nno,2013,,,
2013070108122,"Eriksen, Endre Lund",,2013,"barn, barnebøker, fedre, fortellinger, homofili, ungdomsbøker, vennskap",nob,2013,,,
2013070108129,"Berg, Sunniva Relling",Beina i gitaren :,2013,"annerledes, barnebøker, forelskelse, identitet, kjærlighet, ungdomsbøker",nno,2013,roman,,
2013070108175,"Nybøe, Øystein",Vind :,cop. 2012,,nob,2012,Aldridalens hemmelighet,,
2013070108182,"Grant, Michael",Frykten,2012,,nob,2012,,,
2013070205020,"Salomonsen, Grete",Yohan barnevandrer,cop. 2010,"barnearbeid, barnevandring, litteratur, norge, norsk, sørlandet",nob,2010,,,
2013070905132,"Andresen, Rikard Seeberg",Musikklærerens gode hjelpere :,c2009,,mul,2009,en samling emnehefter for ungdomstrinnet laget spesielt for kopiering,,
2013070905152,"Kaufmann, Odd Tore",Matte overalt,cop. 2010,matematikk,nob,2010,matematikk for barnetrinnet,,
2013070906062,"Toresen, Eli B.",Trøbbel på rideleiren,2007,,nob,2007,,,
2013070906063,"Toresen, R.E.",På villstrå i villmarka,cop. 2006,,nob,2006,,,
2013070938051,"Hagmar, Pia",Saras drøm,2006,"hester, riding",nob,2006,,,
2013071608048,"Rodrigez, Béatrice",Hestar og ponniar,cop. 2005,"barnebøker, biletbøker, dyr, fjellet, friluftsliv, hestar, hester",nno,2005,,,
2013071608220,"Ewo, Jon",Noia,2013,"krim, lettlest, litteratur, norsk, ungdomsbøker",nob,2013,,,
2013071708175,"Pilkey, Dav",Kaptein Supertruse :,2013,,nob,2013,de drittleie doene + de rampete robotene,,
2013071708193,"Montgomery, Alice",Harry Styles :,2013,,nob,2013,den uautoriserte biografien,,
2013071808092,"Nielsen, Jan Henrik",Høsten,2013,,nob,2013,,,
2013071908037,"Meadows, Daisy",Stjernealven Sara,cop. 2011,,nob,2011,,,
2013072205026,"Sverdrup, Kari",Hybelkaninene og den store støvsugerkrigen,2006,"biletbøker, billedbøker, rengjøring, støv",nob,2006,,,
2013072208173,"Condie, Ally",Flukten,2012,,nob,2012,,,
2013072305009,"Osland, Erna",Brevet frå havet,2010,"biletbøker, billedbøker, ensomhet, flaskeposter, språk",nno,2010,,,
2013073008076,"Eliassen, Ruben",Profetiens utvalgte,2011,,nob,2011,,,
2013080208087,"Gotthardt, Peter",,cop. 2013,,nob,2013,,,
2013080508055,"Niemi, Mikael",Bomb dem!,2012,"forfatterskap, mobbing, skolemiljø, ungdomsbøker, vold",nob,2012,,,
2013080508073,"Myhr, Steinar",Blåfargen som verden ville ha :,cop. 2008,"barnebok, bergverk, gruver, kobolt, næring",nob,2008,historien om koboltgruvene og Blaafarveværket på Modum,,
2013080508211,"Halling, Thomas",Være sammen,2005,"barnebøker, forelskelse, lettlesingsbøker",nob,2005,,,
2013080605073,"Jeffers, Oliver",Papirflybjørnen,cop. 2010,"bildebøker, biletbøker, billedbøker, irsk, litteratur, papirfly, papirflybretting",nob,2010,,,
2013080606050,"Nærum, Knut",Kalle Komet og krympekanonen,2010,"barnelitteratur, norsk",nob,2010,,,
2013080706158,"Blom, Tor Harald",Tåkegrimen,cop. 2010,,nob,2010,,,
2013080838027,"Shepard, Sara",Hjerteløs,2012,,nob,2012,,,
2013081208232,"Cast, P.C.",Merket,2011,,nob,2011,,,
2013081308113,"Stehn, Malin","Du og jeg, Speedy!",2008,,nob,2008,,,
2013082205071,"Fatland, Erika",Foreldrekrigen,2009,"barn, barnebøker, foreldre, humor, skilsmisse",nob,2009,,,
2013082706000,"Johnsen, Kjetil",Tilbake fra de døde,2010,,nob,2010,,,
2013091106202,"Aurstad, Tore",Farlig ferd,2008,"fiction, science",nob,2008,,,
2013091205009,"Angerborn, Ingelin",Hvis jeg bare ikke hadde fortalt sannheten-,2008,"barnebøker, forelskelse, humor",nob,2008,,,
2013091205076,"Nilsson, Frida",Hedvig og Max-Olov,2009,"barn, barnebøker, dyr, esler, mobbing, skolemiljø",nob,2009,,,
2013091306071,"Sutcliff, Rosemary",Robin Hood,2009,"barnebøker, england, historie, legender, storbritannia",nob,2009,,,
2013091606024,"Van de Vendel, Edward",,2009,"barnelitteratur, billedbøker, forelskelse, sommerfugler",nob,2009,,En million sommerfugler,
2013091838019,"Holen, Øyvind",Hiphop :,2009,"barnebøker, graffiti, hip-hop, hiphop, rap, ungdomsbøker",nob,2009,"graffiti, rap, breaking, dj-ing",,
2013091905062,"Laberg, Hans Petter",Mannen på bakken,2006,,nob,2006,,,
2013092006021,"Fiske, Anna",Snarveien 8B,2008,"billedbøker, edderkopper, hjem",nob,2008,,,
2013092006055,"Sveen, Elin",Fra barndommens rike,[2008?],,nob,2008,,,
2013092308043,"Prøysen, Alf",Jul med Prøysen,2008,,nob,2008,,,
2013092508023,"Hahr, Sofia",Albert tuller med tall,2011,"barn, barnelitteratur, bildebøker, billedbøker, matematikk, regning, svensk, tall, tid",nob,2011,,,
2013092508045,"Løken, Knut Anders",Min lesekamerat :,cop. 2008,"barn, leseopplæring, lesepedagogikk, lesetrening, leseutvikling, leseøvelser, leseøvingar, lesing",nob,2008,bli en bedre leser! : morsomme øvelser for barn og foreldre : 10 minutter hver dag med tekst og samtale,,
2013092606031,"Cabot, Meg",Prinsessen forelsker seg,2005,,nob,2005,,,
2013092606053,"Sund, Torvald",Siste ytre :,2005,"barnebøker, samfunnsklasser, skjønnlitteratur, skøytesport, ungdomsbøker",nno,2005,roman,,
2013092606064,"Forman, Gayle",Da jeg lot deg gå,2011,"kjærlighet, musikk, popmusikk, popsangere, ungdomsbøker",nob,2011,,,
2013092708043,"Næss, Jan Chr.",Syden,2013,"barnebøker, bildebøker, billedbøker, ferie, lettlest, sydenturer",nob,2013,,,
2013092708057,"Karsin, Åsa",Lille Lena er lege,2011,"barn, billedbøker, sykdommer",nob,2011,,,
2013092708068,"Lystrup, Geirr",10 apekatter,cop. 2012,"bildebøker, billedbøker, sanger, tall, telling",nob,2012,,,
2013100106143,"Brænne, Kaia",Fremmed,cop. 2010,"annerledeshet, barnelitteratur, bever, billedbøker, dyr, norsk",nob,2010,,,
2013100305125,"Skou, Peder",Vandrehistorier,2008,,nob,2008,,,
2013100738015,"Holm, Dagny",Tegn og symboler,2012,"barnebøker, flagg, skilt, symboler, tegn, varmerker",nob,2012,,,
2013100806007,"The, Tjong Khing",Hvor er kaka?,cop. 2005,,nob,2005,,,
2013101606021,"Follestad, Hans Frederik",De fire og han som gjør galt verre,cop. 2008,"fantastisk, humor, litteratur, ungdomsbøker",nob,2008,,,
2013101606034,"Riordan, Rick",Lyntyven,2009,"amerikansk, barnelitteratur",nob,2009,,,
2013101606067,"Engström, Mikael","Kaspar, Atom-Ragnar og pyromanen",2011,"barnebøker, humor",nob,2011,,,
2013101806016,"Sandberg, Inger","Gjett hvem jeg er i dag, sa Labolina",2010,"billedbøker, spøkelser",nob,2010,,,
2013102406106,"Colfer, Eoin",Parasittjegeren,2006,"barnebøker, fiction, science, spenningslitteratur, ungdomsbøker",nob,2006,,,
2013102505066,"Stehn, Malin",Turnéliv og marmorkake,2007,,nob,2007,,,
2013102505067,"Hall, Derek",Jentenes godnatthistorier,2009,,nob,2009,,,
2013102505072,"Nicholls, Sally",Så lenge jeg lever,2008,"barn, barnebøker, døden, forelde, kreft, leukemi",nob,2008,,,
2013102505073,"Vinje, Kari",Mannen med arret,2009,,nob,2009,,,
2013102806104,"Eidem, Kristin Dorothea",Sigurd og Sussi :,2011,,nob,2011,en barnefortelling,,
2013102905043,"Osland, Erna",Perlepappaen :,2008,"barn, barnebøker, fedre, litteratur, mødre, norsk, skilsmisse, skodespel, skuespill",nno,2008,hørespel : ein serie i tre delar,,
2013102905069,"Hjorth, Vigdis",Jørgen + Anne er sant,2009,,nob,2009,,,
2013102905093,"Melli, Aleksander",Barneregjeringen :,2009,,nob,2009,roman,,
2013102906078,"Higson, Charles",Silverfin-mysteriet,2006,,nob,2006,,,
2013103005073,"Oldfield, Jenny",Havtåke,2008,,nob,2008,,,
2013103006006,"Bordiglioni, Stefano",Til kamp mot tyrannosauren,2010,,nob,2010,,,
2013103006033,"Dahl, Roald",Charlie og den store glassheisen,2011,,nob,2011,,,
2013110138023,"Prøysen, Alf",Little old Mrs Pepperpot and other stories,2011,,eng,2011,,,
2013110405024,"Svingen, Arne",Tause skrik,2011,"barnelitteratur, grøss, norsk, spenning",nob,2011,,,
2013110406135,"Sverdrup, Kari",Nattsvømmeren,2006,"alkohol, ansvar, forelskelse, kjærlighet",nob,2006,,,
2013110506025,"Paolini, Christopher",Arven,2009,"drager, eventyr, fantasy",nob,2009,,,
2013110508124,"Uebe, Ingrid",Heksa og hunden - og andre historier om dyr,cop. 2005,"barnebøker, dyr, fortellinger, lettlesebøker, lettlesningsbøker",nob,2005,,,
2013111906026,"Sagrusten, Hans Johan",P52 :,cop. 2007,"bibelen, opprinnelse",nob,2007,historien om Bibelen,,
2013112606006,"Dillon, Sally Pierson",Klem fra Jesus,cop. 2006,,nob,2006,,,
2013120205109,"Stokholm, Steen",Manchester United,cop. 2009,,nob,2009,,,
2013120406097,"Eriksen, Endre Lund",Pitbull-Terje og kampen mot barnevernet,2006,"alkoholisme, atferdsvanskerangst, barn, barnebøker, barnevern, foreldre, omsorgssvikt, vennskap",nob,2006,,,
2013120506030,"Wold, Kjersti",Rapport fra et sandkorn,2012,"egypt, flytting, forelskelse, naturvitenskap, ungdomsbøker",nob,2012,,,
2013120506034,"Nesbø, Jo",,[2008?],"2008, kina, ol",nob,2008,,,
2013120906079,"Mould, Chris",Spøkelser :,2007,"barn, spøkelseshistorier",nob,2007,ti klassiske spøkelseshistorier,,
2013121005126,"Lindgren, Astrid",Marikken,2010,,nob,2010,,,
2013121108014,"Færden, Else",Vingefolket,2005,,nob,2005,,,
2014010708223,"Ragde, Anne B.",Valpefabrikken,2006,"barn, barnebøker, dyr, forsking, medisinsk, spenningslitteratur",nob,2006,,,
2014011606014,"Eriksen, Endre Lund",Jafs :,2007,"barn, barnebøker, dyr, dyrehager, hager, papegøyer, rømning, skjønnlitteratur, ville, zoologiske",nob,2007,flukten fra Villmarka zoo,,
2014011708142,"Ingvaldsen, Bjørn",Jeg er berømt!,2009,humor,nob,2009,,,
2014012209089,"Hansen, Ole Reidar",Petter på folkehøgskolen,cop. 2005,,nob,2005,,,
2014013106070,"Ingvaldsen, Bjørn",Spøkelseshuset,2008,"barnebøker, humor, nonsens, spøkelser",nob,2008,,,
2014020348036,"Gronemann, Steffen",Alt om Balotelli,2012,,nob,2012,,,
2014020405087,"Eliassen, Ruben",Nøkkelen,2008,"barnebøker, fantastisk, litteratur, sirkus",nob,2008,,,
2014020708026,"Vidnes-Kopperud, Bodil",Nilsen og krabbene og krokodille-mamma,2012,,nob,2012,,,
2014021008004,"Strøm, Johan-Arnt",Sykkeltyvene,cop. 2007,,nob,2007,,,
2014021008089,"Stahl, Hilda",Det uventede brevet,cop. 2006,,nob,2006,,,
2014021307001,"Dimpas, Anne Lene Turi","""Dah mupbien [sic] bealan vuartasjieh"" :",2010,mobbing,sma,2010,mij dïhte neerrehtimmie jïh guktie dam orrijehtedh,,
2014021706081,"Tiitinen, Esko-Pekka",Ulltoppane,2010,"forelskelse, kors, musikk, røde, ungdomsbøker",nno,2010,,,
2014021748030,"Ellsworth, Nick",Barnas beste bibelhistorier,2013,,nob,2013,,,
2014021748080,"Kirtley, Clare",Min første blå ordbok :,2006,"barn, engelsk, ordbøker",mul,2006,engelsk,,
2014021806068,"Kipling, Rudyard",,2011,"barnebøker, barnelitteratur, engelsk, klassikere",nob,2011,,,
2014022006043,"Keene, Carolyn",Tyven på ballettskolen,cop. 2009,,nob,2009,,,
2014022006056,"Jones, Eleanor",Porten til fortiden,2007,,nob,2007,,,
2014022106108,"Gordon, Roderick",Nærmere,2011,,nob,2011,,,
2014022406040,"Røsth, Gro",Bror helt alene,2010,,nob,2010,,,
2014022406043,"Hollyer, Belinda",Lulu og bursdagsselskapet,cop. 2011,"barn, billedbøker, fødselsdager, sjalusi, søsken",nob,2011,,,
2014022408045,"Nielsen, Atle",Hedenske menn,cop. 2008,,nob,2008,,,
2014022806023,"Rowling, J.K.",Harry Potter og de vises stein,2011,,nob,2011,,,
2014022806052,"Bross, Helena",Lommetyver i byen,2011,,nob,2011,,,
2014022806068,"Paver, Michelle",Løftebryter ; Spøkelsesjeger,2011,,nob,2011,,,
2014022808066,"Aamodt, Ingunn",Grusom spådom,2007,"barnebok, grøss, grøsser, ungdomsbok",nob,2007,,,
2014022808225,"Nilsson, Ulf",Lillesøster kanin på eventyr,2008,"barn, billedbøker",nob,2008,,,
2014030308106,"Nilsen, Tove",Sitronsol,2005,"ferie, hellas",nob,2005,,,
2014030406015,"Johnsen, Kjetil",,2011,,nob,2011,,Et hull i sjelen,
2014030505038,"Brashares, Ann",,2009,,nob,2009,,,
2014030707128,"Hill, Eric",Leggetid for Tassen,2010,,nob,2010,,,
2014031006105,"Bringsværd, Tor Åge",Klabert,2008,"barnebøker, billedbøker, eventyr, folkeventyr, humor",nob,2008,,,
2014031006136,"Walgermo, Alf Kjetil",Mitt bankande hjarte :,2011,"barn, barnebøker, forelskelse, hjertesykdommer, ungdomsbøker, vennskap",nno,2011,roman,,
2014031106010,"Naas, Tor Erling",Apefjes,2011,"barn, barnelitteraturbarnebøker, døden, ensomhet, flytting, foreldre, norsk, romaner, sorg, spenning, tagging, tegneserier, tegneserieromaner, ungdom, ungdomsbøker",nob,2011,,,
2014031106040,"Guibert, Françoise de",Helter,2011,,nob,2011,,,
2014031208118,"Kirk, David",Jeg flyr min vei,cop. 2006,,nob,2006,,,
2014031406035,"Øvregard, Kåre",Tiriltunger og brennenesler :,cop. 2007,"1918-1939, 1939-1945, barn, fortellinger, historie, jostedal, luster, skjønnlitteratur",nno,2007,ho Brita Moste og andre små soger,,
2014031406077,"Steinsfjord, Eigil",Hva er i veien med Steinar Andersen?,2011,,nob,2011,,,
2014031406111,"Bringsværd, Tor Åge",Når to vil kle seg ut,2009,"bildebøker, billedbøker",nob,2009,,,
2014031705032,"Hawking, Lucy",Georgs hemmelige nøkkel til universet,2008,,nob,2008,,,
2014031705039,"Perelman, Helen",Gå for platina,2009,,nob,2009,,,
2014031706063,"Johnsen, Kjetil",Morderen som gråt,2011,,nob,2011,,,
2014031805027,"Thydell, Johanna","Hallo, elsk meg da",2011,"forelskelse, identitet, jenter, pubertet, ungdomsbøker, vennskap",nob,2011,,,
2014031805035,"Osborne, Mary Pope",Sjørøvere sent på dagen,2011,"barnebøker, leseløve, sjørøvere, tidsreiser",nob,2011,,,
2014031805062,"Aamodt, Ingunn",Kjøtt og blod,2011,"barnebøker, grøsser",nob,2011,,,
2014031806004,"Bross, Helena",Vi har gått oss vill,2009,,nob,2009,,,
2014031906044,"Ingvaldsen, Bjørn",Klassefesten,2009,"barnebøker, humor, tvillinger",nob,2009,,,
2014033148151,"Youmans, Mariann",Fjortis :,2013,,nob,2013,alt du lurer på,,
2014040408011,"Bråtebekken, Christian",,2008,,nob,2008,,,
2014040408066,"Nordström, Gunnar",Sluttspill i Helsingfors,2006,,nob,2006,,,
2014040806057,"Hagerup, Hilde",Bølgebiter,2009,"barn, jentemiljø, mobbing, skjønnlitteratur, ungdom, vennskap",nob,2009,,,
2014041108116,"Kopietz, Gerit",Midnattsgrøss :,2006,"barn, lettlest, spøkelser, spøkelseshistorier",nob,2006,og andre historier om spøkelser,,
2014042208085,"Lindell, Unni",Sugemerket,2011,,nob,2011,,,
2014042306101,"Bjørkum, Bjarte",Elg i solnedgang,2008,,nno,2008,,,
2014042406009,"Nilsson, Per",Solprinsen,2005,"forelskelse, mobbing, ungdomsbøker",nob,2005,,,
2014042407107,"Stohner, Anu",,2007,"billedbøker, jul, julenisser",nob,2007,,,
2014042407135,"Moore, Genevieve",Katrines historie,cop. 2011,"barnebøker, billedbøker, funksjonshemmede",nob,2011,,,
2014042906092,"Mæhle, Lars",Knoterud FK :,2010,lettlest,nno,2010,venskapskampen,,
2014043006027,"Wandel, Andrea",Julie i trøbbel,2011,,nob,2011,,,
2014050706020,"Scheen, Kjersti",Sofie og tøffe Anders,2011,,nob,2011,,,
2014050805109,"Dhami, Narinder",Bindi-babes,2010,,nob,2010,,,
2014050806095,"Samzelius, Maj",Stjernene forteller,2010,"barnebøker, barnelitteratur, fortellinger, gresk-romersk, heltesagn, mytologi, stjernebilder, svensk",nob,2010,,,
2014050906029,"Bratlund-Mæland, Vidar","Når Kald Kaffi Sauen søv, dansar pappa på kjøkkenet",2011,,nno,2011,,,
2014051205102,"Myklebust, Kari Janne",Det vesle hotellet som kunne å strikke :,2011,,nno,2011,eit hotelleventyr for store og små,,
2014051308134,"Solheim, Toril Karin",Tina - ei indisk prinsesse,cop. 2006,"adopsjon, barn, barnebøker, india",nob,2006,,,
2014051406007,"Davik, Ingebrigt",Det hende i Taremareby :,[2009?],"barnebøker, barnerim",nno,2009,forteljing og viser frå radio og fjernsyn,,
2014051506053,"Wilhelmsen, Inga Gaino",Juoŋasteapmi,cop. 2006,"dávvisámegillii, innsjøfiske, isfiske, oahppogirji, smávvaskuvlii",sme,2006,,,
2014052308207,"Snicket, Lemony",,2006,"barnebøker, fantastisk, litteratur",nob,2006,,,
2014052705075,"Grey, Mini",TractionMan er her,2008,"billedbøker, leker",nob,2008,,,
2014060208030,"Simon, Francesca",Rampete Robin og spøkelseshuset,2005,,nob,2005,,,
2014060306007,"Stroud, Jonathan",Bartimeus-trilogien,2006,"barnebøker, fantastisk, litteratur, ungdomsbøker",nob,2006,,,
2014060308027,"Skeie, Eyvind",Musedyret brekker halen,cop. 2005,"billedbøker, trafikk, trafikkopplæring",nob,2005,,,
2014060506045,"Bringsværd, Tor Åge",Livet på landet,2010,"billedbøker, husdyr, jordbruk, landsmiljø",nob,2010,,,
2014061205054,"Dorsey, Angela",,2011,,nob,2011,,En ny verden,
2014061206072,"Gaarder, Jostein",Sofies verden :,2006,,nob,2006,roman om filosofiens historie,,
2014061206126,"Jensen, Jørn",Stian på tur i skogen,2011,,nob,2011,,,
2014061305022,"Ærlig, Tor",Mr. Mystisk og 2 andre mysterier,2011,"norske, tegneserier",nob,2011,,,
2014061305027,"Wegenast, Bettina",Å være ulv :,2010,"barnebøker, makt, sauer, ulver, vennskap",nob,2010,en fortelling,,
2014061605012,"DiCamillo, Kate",Historien om Despereaux :,2008,,nob,2008,"er historien om en mus, en prinsesse, litt suppe og en trådsnelle",,
2014061606102,"Olsson, Lotta",Morris på landet,2006,,nob,2006,,,
2014061806165,"Lund, May B.",Nyevenner.com,2008,"ensomhet, forelskelse, internett, kommunikasjon, narkotika, ungdomsbøker",nob,2008,,,
2014062005100,"Hætta, Inga Laila","Manne, månnoeh, mijjieh",2011,,sma,2011,"mijjen kråahpe jïh healsoevoete, mijjen beapmoe jïh mijjen vaarjoeh : aamhtes-gærja",,
2014062305020,"Rooney, Anne",1001 sjokkerende vitenskapelige fakta,2011,,nob,2011,,,
2014062305049,"Gripe, Maria",Tordivelen flyr i skumringen :,2007,,nob,2007,en beskrivelse av visse begivenheter som fant sted i Ringaryd i Småland,,
2014062306040,"Young, Caroline",Lek og læring de første årene,cop. 2008,"barn, barn, lek, læring, småbarn, spedbarn",nob,2008,,,
2014062307214,"Nyhus, Svein",Opp og ut,2008,"angst, billedbøker, filosofi",nob,2008,,,
2014062405042,"Krogvold, Fritjof C.",Skating :,2011,"barnebøker, rullebrett, skateboard, skating",nob,2011,alt om rullebrett,,
2014062405054,"Stranger, Simon",Barsakh :,2009,"afrika, canaria, ferie, flyktninger, gran, kanariøyene, ungdomsbøker",nob,2009,"Emilie, Samuel og Gran Canaria : roman",,
2014062406078,"Ingvaldsen, Bjørn",Bambusskudd i mørket,2011,"barnebøker, spenningslitteratur",nob,2011,,,
2014062406092,"Bjørkum, Bjarte",Dat stuorra buoskungilvu,2013,"barnebøker, lettlest",sme,2013,,,
2014062407039,"Chapman, Keith",Det store flyracet,2007,,nob,2007,,,
2014062407069,"Godfrey, Jan",På vei mot påske,cop. 2008,"billedbøker, påske",nob,2008,,,
2014062407074,"Blake, Stephanie",Bæsj,2008,"billedbøker, humor",nob,2008,,,
